key,label,namespace,milestone,tooltip_seed
ui.res.scrap,Scrap,ui.res,M1,Mixed unsorted salvage. Feeds the reclaimer
ui.res.rubble,Rubble,ui.res,M1,"Broken concrete and masonry. Cleared, not mined"
ui.res.girder,Girder,ui.res,M1,"Structural steel cut from a shell. Heavy, valuable"
ui.res.panel,Hull panel,ui.res,M1,Flat salvaged plating. The cheapest wall material
ui.res.composite,Composite,ui.res,M1,"Light high-strength laminate. Scarce, from deep salvage"
ui.res.glass,Glass,ui.res,M1,"Windows, screens and hydroponic covers"
ui.res.polymer,Polymer,ui.res,M1,"Moulded plastics. Light, flammable"
ui.res.ceramic,Ceramic,ui.res,M1,Heat-resistant tile and insulator stock
ui.res.rebar,Rebar,ui.res,M1,Reinforcing rod. Doubles a span's support
ui.res.wire,Wire,ui.res,M1,Conduit and machine winding stock
ui.res.circuitry,Circuitry,ui.res,M1,Salvaged boards. Every powered thing needs some
ui.res.chip,Processor,ui.res,M1,Intact pre-collapse logic. Rarely recoverable
ui.res.mechanism,Mechanism,ui.res,M1,"Gears and actuators. Doors, lifts, turrets"
ui.res.pipe,Pipe,ui.res,M1,"Fluid and gas runs, and cheap conduit"
ui.res.cell,Power cell,ui.res,M1,Portable charge. Batteries and tools
ui.res.fuel,Fuel,ui.res,M1,"Burns in generators. Salvaged, not refined, at first"
ui.res.coolant,Coolant,ui.res,M1,Keeps fabricators and reactors inside tolerance
ui.res.optic,Optic,ui.res,M1,Lenses and sensors. Scanners and scopes
ui.res.fabric,Fabric,ui.res,M1,"Bedding, apparel and filters"
ui.res.leather,Leather,ui.res,M1,Tanned hide. Tougher apparel than fabric
ui.res.cord,Cord,ui.res,M1,"Rope and cable. Ladders, lifts, bindings"
ui.res.insulation,Insulation,ui.res,M1,Foam batting. Slows heat through a wall
ui.res.paper,Paper,ui.res,M1,Records and packaging. Research feedstock
ui.res.rations,Rations,ui.res,M1,"Sealed pre-collapse food. Never spoils, nobody enjoys it"
ui.res.meal,Meal,ui.res,M1,Cooked at a galley. Mood as well as nutrition
ui.res.protein,Protein paste,ui.res,M1,Reclaimed nutrition. Edible; that is all
ui.res.meat,Raw meat,ui.res,M1,Butchered. Spoils without cold
ui.res.produce,Produce,ui.res,M1,"Grown food, uncooked"
ui.res.wood,Wood,ui.res,M3,"Felled timber. The first thing the colony builds with"
ui.res.stone,Stone,ui.res,M3,"Broken rock from a mined face. Heavy, and there is always more"
ui.res.ironore,Iron ore,ui.res,M3,Raw ore. Worthless until something smelts it
ui.res.coal,Coal,ui.res,M3,"Burns hot. Found deeper than iron, and for that reason"
ui.res.carrots,Carrots,ui.res,M3,"The first field crop. Eaten straight, no cooking and no spoilage"
ui.res.grain,Grain,ui.res,M1,"Bulk staple. Stores well, needs cooking"
ui.res.fungus,Fungus,ui.res,M1,Grows without light. The underground staple
ui.res.stimulant,Stimulant,ui.res,M1,Buys an hour of wakefulness at a cost
ui.res.alcohol,Alcohol,ui.res,M1,"Recreation, and a problem for some"
ui.res.medkit,Medkit,ui.res,M1,Field tending. Consumed per treatment
ui.res.medicine,Medicine,ui.res,M1,Compounded drugs. Better outcomes than a medkit
ui.res.organ,Organ,ui.res,M1,"Harvested and kept cold. Surgery, or trade"
ui.res.prosthetic,Prosthetic,ui.res,M1,Replaces a lost part. Quality varies wildly
ui.res.bone,Bone,ui.res,M1,Butchery by-product. Tool and craft stock
ui.res.tallow,Tallow,ui.res,M1,"Rendered fat. Candles, soap, fuel"
ui.res.plantmatter,Plant matter,ui.res,M1,Cuttings and chaff. Compost and feedstock
ui.res.seed,Seed,ui.res,M1,Plants a growing zone. Some strains are irreplaceable
ui.res.ammo,Ammunition,ui.res,M1,Feeds firearms and turrets
ui.res.credit,Credit chit,ui.res,M1,The one currency every faction still honours
ui.res.relic,Relic,ui.res,M1,Pre-collapse curio. Trade value and a mood lift
ui.res.smokes,Smokes,ui.res,M1,Cheap comfort with a long bill
ui.res.curio,Curio,ui.res,M1,Sentimental object. Worth more to a colonist than a trader
ui.need.food,Food,ui.need,M2,How hungry this colonist is
ui.need.rest,Rest,ui.need,M2,Sleep debt
ui.need.joy,Recreation,ui.need,M2,Time spent on anything enjoyable
ui.need.comfort,Comfort,ui.need,M2,Quality of what they sit and sleep on
ui.need.beauty,Beauty,ui.need,M2,How the surroundings look to them
ui.need.space,Space,ui.need,M2,Room to move. Cramped quarters grate
ui.need.outdoors,Outdoors,ui.need,M2,"Time under open sky. Some need it, some dread it"
ui.need.hygiene,Cleanliness,ui.need,M2,Filth underfoot and in the air
ui.need.mood,Mood,ui.need,M2,How good this colonist feels overall
ui.mood.content,Content,ui.mood,M2,Mood is comfortable
ui.mood.strained,Strained,ui.mood,M2,Mood is falling. Watch this one
ui.mood.breaking,Breaking,ui.mood,M2,At the threshold of a mental break
ui.mood.broken,Breaking down,ui.mood,M2,In a mental break now
ui.skill.construction,Construction,ui.skill,M2,"Building, and the quality of what is built"
ui.skill.mining,Mining,ui.skill,M2,"Digging, rubble clearance and salvage extraction"
ui.skill.salvage,Salvage,ui.skill,M2,Stripping a shell without wrecking what is in it
ui.skill.cooking,Cooking,ui.skill,M2,"Meal quality, and food poisoning avoided"
