path,name,family,role,sizeX,sizeY,sizeZ,minX,minY,minZ,maxX,maxY,maxZ,renderers,triangles,materials,skinned
"Assets/Synty/AnimationBaseLocomotion/Samples/Prefabs/PF_LockOnTarget.prefab","PF_LockOnTarget",Other,Other,0.77,2.83,0.19,-0.37,0.03,-0.07,0.40,2.86,0.11,2,898,2,0
"Assets/Synty/AnimationBaseLocomotion/Samples/Prefabs/PF_PolygonPlayer.prefab","PF_PolygonPlayer",Other,Other,2.05,1.79,0.37,-1.02,0.00,-0.19,1.02,1.79,0.18,1,4896,1,1
"Assets/Synty/AnimationBaseLocomotion/Samples/Prefabs/PF_SidekickPlayer.prefab","PF_SidekickPlayer",Other,Other,1.90,1.79,0.37,-0.95,0.00,-0.19,0.95,1.78,0.18,1,6628,1,1
"Assets/Synty/AnimationBaseLocomotion/Samples/Prefabs/PF_SyntyCamera.prefab","PF_SyntyCamera",Other,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PNB_Core/Prefabs/FX_Rain_01.prefab","FX_Rain_01",Rain,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PNB_Core/Prefabs/FX_Rain_Splash_01.prefab","FX_Rain_Splash_01",Rain,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PNB_Core/Prefabs/FX_Snow_01.prefab","FX_Snow_01",Snow,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PNB_Core/Prefabs/SM_Env_Cloud_Ring_01.prefab","SM_Env_Cloud_Ring_01",Env,Other,277.46,26.06,259.42,-132.04,19.75,-133.32,145.42,45.81,126.10,1,14456,1,0
"Assets/Synty/PNB_Core/Prefabs/SM_Env_Cloud_Ring_02.prefab","SM_Env_Cloud_Ring_02",Env,Other,310.27,54.42,295.39,-150.98,0.38,-153.59,159.29,54.80,141.80,1,18556,1,0
"Assets/Synty/PNB_Core/Prefabs/SM_Env_Fog_Ring_01.prefab","SM_Env_Fog_Ring_01",Env,Other,70.17,3.94,70.17,-35.09,0.00,-35.09,35.09,3.94,35.09,1,48,1,0
"Assets/Synty/PNB_Core/Prefabs/SM_Env_Grass_01.prefab","SM_Env_Grass_01",Env,Other,1.89,1.03,1.90,-0.94,-0.06,-0.95,0.95,0.97,0.95,3,50,1,0
"Assets/Synty/PNB_Core/Prefabs/SM_Env_Skydome_01.prefab","SM_Env_Skydome_01",Env,Other,65.88,26.13,65.88,-32.94,0.00,-32.94,32.94,26.13,32.94,1,160,1,0
"Assets/Synty/PNB_Core/Prefabs/SM_Env_Water_Plane_01.prefab","SM_Env_Water_Plane_01",Env,Other,50.00,0.00,50.00,-25.00,0.00,-25.00,25.00,0.00,25.00,1,20000,1,0
"Assets/Synty/PNB_Core/Prefabs/WeatherControl.prefab","WeatherControl",Other,Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Barn_01.prefab","SM_Bld_Barn_01",Bld,Other,13.49,9.11,14.16,-6.75,0.00,-7.08,6.75,9.11,7.08,7,13150,1,0
"Assets/Synty/PolygonFarm/Prefabs/Buildings/SM_Bld_Barn_02.prefab","SM_Bld_Barn_02",Bld,Other,13.49,9.11,7.44,-6.75,0.00,-3.72,6.75,9.11,3.72,7,10212,1,0
